Player name,position,Games,Runs,Hits,home run,run batted in,Strikeouts,AVG,On-base Percentage
B Tuttle,OF,1270,578,1105,67,443,416,0.259,0.334
J Russell,LF,1035,556,959,67,428,427,0.267,0.36
M Matheny,C,1305,353,925,67,443,795,0.239,0.293
P Munoz,RF,517,203,467,67,252,418,0.273,0.315
B Schneider,C,1048,284,781,67,387,526,0.247,0.32
B Hamelin,DH,497,179,313,67,209,293,0.246,0.352
B Hunter,1B,699,187,364,67,259,335,0.234,0.298
R Castro,C,567,155,338,67,217,375,0.237,0.31
M Teahen,3B,831,388,759,67,332,679,0.264,0.327
F Robinson,RF,1011,458,929,67,426,282,0.283,0.365
C McGehee,3B,850,285,721,67,380,517,0.258,0.317
E McKean,SS,1654,1227,2083,67,1124,158,0.302,0.364
D Vogelbach,DH,471,176,286,67,190,396,0.218,0.343
F Clarke,LF,1373,1619,2672,67,1015,135,0.312,0.386
K Garcia,RF,488,180,352,66,212,330,0.241,0.279
D Bissonette,1B,604,359,699,66,391,269,0.305,0.371
A Eaton,CF,915,566,950,66,319,679,0.276,0.354
D Mientkiewicz,1B,1087,422,899,66,405,472,0.271,0.36
J Candelario,3B,609,284,526,66,248,590,0.24,0.322
T Benzinger,1B,924,316,733,66,376,552,0.257,0.301
J Mercer,2B,950,330,796,66,308,589,0.256,0.315
L Bell,3B,896,404,938,66,509,322,0.29,0.346
E Marrero,C,724,262,463,66,261,372,0.243,0.303
D Dietz,C,646,226,478,66,301,402,0.261,0.39
M Rettenmund,RF,1023,393,693,66,329,382,0.271,0.381
D Viciedo,LF,483,200,425,66,211,388,0.254,0.298
B Cox,3B,1058,470,974,66,351,218,0.262,0.318
A Hedges,C,608,174,343,66,207,556,0.189,0.247
L Walls,RF,902,331,670,66,284,470,0.262,0.329
S White,C,1043,324,916,66,421,381,0.262,0.305
D Cater,1B,1289,491,1229,66,519,406,0.276,0.316
M Andrews,2B,893,441,803,66,316,390,0.258,0.353
K Stinnett,C,734,228,476,65,230,567,0.234,0.313
